구분,회사,담당부서,내용
인사,동국홀딩스,인사기획팀,· 해외주재원 관련 제도 및 처우
지원,동국홀딩스,커뮤니케이션팀,"· 해외주재원 부임 관련 지원사항 안내
  - 비자, 항공권, 이사비용 등"
전략,동국홀딩스,전략팀,"· 해외법인 R&R의 이해
  · 해외법인 현황/Issue/중장기 전략
  · 해외법인 협의체 회의"
재경,동국홀딩스,미국법인,"· APA, TP, BEPS 의 개념 
  · 한미APA Renewal 진행 현황 및 절차에 대한 상세 교육
  · 법인세 및 이연법인세
  · 세무신고 관련 계열사에 요청하는 작성 자료
· 회계원리 전반
  - 전표의 생성과 결재(분개와 전기), 재무제표
  - 주요 계정별 특성과 분류, 수익의 인식, IFRS와 GAAP의 개념과 차이
· 월마감 절차
· 분기마감(연결회계) 절차 및 작성자료 상세 교육
  - 데이터단계 개별 정산표, 주석, 현금흐름표, 자본변동표, 특수관계자거래
  - 리스부채, 컨버전분개, 재고자산 미실현, SAP 연결회계 모듈 사용법
· 회계감사
· 공시
· 감가상각
· 충당금 설정
· 내부회계관리 시스템 계열사 구축 진행 현황
  - 미국법인 내부회계관리 구축 관련 중요사항"
재경,동국제강/동국씨엠,재무팀,"· L/C, T/T, USANCE 등 무역거래 결제조건 교육
  · 자금조달의 유형 및 현황
  · 재무분석 기초(은행 관점에서의 중요 사항 위주)
  · 환율
  · 미국법인 채권 회수 현황
  · 해외법인 지급보증
  · 해외법인 월간보고 자료"
재경,동국제강,신용관리팀,"· 거래처 신용 분석 및 한도 부여
  · 채권 관리 요령 및 미수 채권 회수 사례 교육"
영업,동국제강,수출전략팀,"· 봉강영업 및 수출 프로세스
· 형강영업 및 수출 프로세스
· 후판영업 및 수출 프로세스"
영업,동국씨엠,Luxteel수출팀,"· 냉연도금영업 및 수출 프로세스
· Luxteel영업 및 수출 프로세스"
영업,,Appsteel영업팀,· Appsteel영업 및 수출 프로세스
통상,동국제강/동국씨엠,통상팀,"· 미국 AD, CVD
  · 캐나다 NV
  · 멕시코 등 북남미 통상 관련"
IT,동국제강,정보기술팀,"· DKI D365 기본 모듈
  -미국ERP 시스템 전반적인 프로세스
  -Financial 모듈 및 전표처리 프로세스"